F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,file,emotion
29.334528,0.46142477,23.55552,24.157091,26.461578,2.9060593,158.97514,28.719826,218.53084,0.0,0.9646191,0.7349362,0.28908348,0.73069525,1.8134087,1.5243253,18.22745,5.8445673,10.876972,6.1897063,0.7563094,0.9109009,15.877215,1.3276081,-0.8205144,-12.66631,-4.73397,-2.9978032,-2.5764735,-4.384801,0.071809925,0.84885055,2.3789961,0.44625956,-2.336347,-1.2165108,-0.8765677,-28.307835,12.303395,1.048816,544.04895,0.42583907,1266.138,0.35330033,-44.69687,-1.735131,1507.4463,0.15643807,945.0773,0.20158027,-44.32663,-1.584506,2573.727,0.10476171,945.8283,0.4825229,-48.28461,-1.3151634,-5.5629506,-1.8682038,17.341677,0.8536042,0.030273622,0.9812539,-0.010676156,-1.1073945,0.9888052,0.7036446,19.52595,1.1692159,0.6605075,15.946582,0.34370753,35.166363,-1.4526755,-8.564675,1.6517056,9.774569,0.029369883,-0.0023022003,0.34787223,6.779661,5.769231,0.13,0.050990194,0.03,0.01,-25.848602,C:/proje/ser_proje/dataset\Angry\1157_kz_acik.wav,Angry
24.628975,0.093828194,23.855087,24.739971,26.211851,2.3567638,67.52453,31.193518,41.608105,29.306274,1.0200677,0.9550114,0.07371996,0.5844545,2.153788,2.080068,10.207805,5.51378,9.226015,0.38342807,0.8635913,0.998249,27.557405,0.4532659,2.9696515,1.9351112,4.998771,2.0314653,-5.6044726,-3.9986463,0.06059068,1.4117361,1.4743109,0.792848,2.134688,1.8629993,-0.32221347,-13.287461,24.373137,0.23173697,602.6778,0.41306448,1325.1859,0.11479943,-70.344986,-1.2936809,1535.5481,0.20310614,1076.6461,0.24732989,-75.24367,-1.1580546,2618.9575,0.12485984,770.539,0.24996977,-84.321915,-0.9550458,-15.338608,-0.40395513,27.264914,0.19649807,0.041978557,0.60239106,-0.025964966,-0.98061436,1.3640639,0.5212348,35.90579,0.2000268,3.2378047,2.124596,1.0413002,10.170104,-11.859343,-2.2121356,-10.949393,21.537134,-0.02466013,-0.0015215233,0.016212609,2.247191,1.1904762,0.55,0.0,0.13,0.01,-20.653906,C:/proje/ser_proje/dataset\Angry\1157_kz_algi.wav,Angry
24.553295,0.065469496,23.341354,24.648294,26.109638,2.7682838,188.94331,115.54376,25.303446,8.998285,1.3690978,0.81534857,0.16904768,1.4322596,2.0222244,1.8531767,24.027842,9.029757,-2.8852575,7.648672,0.95210236,0.95699215,17.204113,1.2846063,3.8304753,3.805244,0.9667041,15.239999,0.29428256,22.793022,0.035664704,1.1945055,1.5197166,0.87961155,1.7394488,2.210739,-0.3012004,-24.151215,17.50076,0.29210117,477.2914,0.42096242,1226.5385,0.08943783,-75.46617,-1.1865427,1451.7354,0.15900156,1000.29285,0.12565294,-81.61778,-1.0419201,2434.3496,0.12866198,899.2414,0.16013838,-85.37641,-0.9638914,-11.768951,-0.27131253,21.107275,0.20374669,0.043110017,0.8675087,-0.022926347,-0.3824881,1.3969074,0.6533366,30.853365,0.35110426,-4.6769814,-1.8681743,4.5235896,2.4785643,-1.0644975,-6.9326916,1.3205092,4.4009743,0.007255941,-0.0036809237,0.4126404,2.777778,3.0303032,0.19999999,0.049999997,0.105,0.065,-20.148571,C:/proje/ser_proje/dataset\Angry\1157_kz_beste.wav,Angry
23.652079,0.08720447,21.649313,24.5221,25.2173,3.5679874,-15.712775,19.397081,28.418705,7.331744,1.263676,0.7874787,0.09972575,1.4703593,2.2677534,2.1680276,8.410763,0.0,-11.452409,0.0,1.0859753,0.9136983,38.417877,0.3291384,10.788668,0.5553618,5.1686587,0.8510907,-22.734268,-0.7582268,0.02139212,0.8766754,1.5088097,1.091631,2.9119768,1.5667175,-3.4036336,-1.1723942,31.502293,0.12664148,795.6506,0.2035728,1192.2437,0.14595336,-25.369926,-2.443752,1858.1412,0.16376385,1246.8336,0.24618219,-48.36003,-1.1019126,3025.2246,0.11129327,647.88184,0.5272298,-52.630436,-0.9847923,-24.186663,-0.18053854,32.585075,0.16081324,0.045814436,0.68630934,-0.049507987,-0.35834673,1.3966135,0.65881014,44.192333,0.16579841,12.369759,0.47021616,3.779381,0.95315945,-29.380117,-0.45985344,-13.128511,23.694017,-0.0127445245,-0.012725681,0.03267883,1.8867925,2.1276596,0.39999998,0.0,0.03,0.0,-17.932325,C:/proje/ser_proje/dataset\Angry\1157_kz_bugu.wav,Angry
30.375477,0.453778,21.15702,24.42514,49.169846,28.012825,-44.514946,0.0,166.0587,0.0,1.273856,0.97445816,0.09549616,0.6866659,2.801577,2.706081,12.39754,5.6020017,15.84693,7.666569,0.7484435,1.0213172,13.959764,1.4206035,-1.878528,-5.4647527,10.718821,1.537717,-6.043619,-2.1804159,0.033051275,1.0394052,1.6549478,0.64787006,-0.027549287,-206.00388,-3.0748503,-1.7002487,7.6795774,1.8860939,513.1897,0.473069,995.98926,0.32508844,-90.843124,-1.0462888,1609.4462,0.26433444,833.2754,0.33384982,-87.25276,-1.0610317,2570.9697,0.1632558,776.03876,0.38499835,-87.87306,-1.0056905,-2.648907,-5.3938446,11.97535,1.3798405,0.03509463,0.665212,-0.019737408,-0.5905664,1.2772894,0.4807515,14.253022,1.8060848,-3.8287055,-3.3805153,8.50038,2.557779,-14.139675,-0.7259019,-7.5854316,15.353595,-0.018729107,-0.0027649368,0.11931744,2.5641026,2.777778,0.205,0.114999995,0.125,0.005,-21.879969,C:/proje/ser_proje/dataset\Angry\1157_kz_cay.wav,Angry
27.498793,0.41844326,22.916834,23.831247,24.684273,1.7674389,-17.938206,0.0,116.27732,0.0,1.0764538,0.7429415,0.28750065,0.9852557,1.7125558,1.4250551,15.094566,6.6276107,7.319975,6.865808,0.74836,0.80381453,13.974313,1.3761333,2.7999477,3.9609346,9.075183,1.0766565,4.743606,2.2527685,0.022252217,0.858578,1.8234065,0.6082455,0.7369354,5.613511,-1.4632467,-4.8256965,18.955276,0.69515646,563.6184,0.53663844,1099.2556,0.16547626,-76.72402,-1.2110989,1645.6569,0.18755539,778.07916,0.28200585,-78.55469,-1.084666,2680.3323,0.10934486,841.92017,0.35748935,-78.39684,-1.0534719,-8.414432,-1.4039315,18.563557,0.7370272,0.032796994,0.988129,-0.01245278,-0.9164587,1.0170971,0.5321746,18.100922,1.042584,4.1178327,2.92513,12.214112,0.7948723,6.959544,1.6139681,-1.7805635,10.704672,0.016373087,-0.005612049,0.38600287,4.494382,3.5714288,0.17333333,0.13424687,0.0625,0.008291562,-24.701267,C:/proje/ser_proje/dataset\Angry\1157_kz_cekirge.wav,Angry
30.161076,0.4685848,22.396801,24.45481,37.676132,15.279331,43.148544,8.984106,116.26862,0.0,0.90515816,1.1184329,0.07308839,0.16122405,2.1246376,2.0515492,15.56681,11.4507475,15.030509,5.6458707,0.4980707,1.2068369,15.965078,1.0766802,-4.9535418,-2.0405643,16.793762,0.43341896,-1.5314718,-8.837482,0.039088856,1.0401428,1.8827921,0.64747816,0.23381616,21.997139,1.2294911,7.2568564,9.043626,1.5804839,588.6726,0.47220322,965.0257,0.27015293,-112.83876,-0.83938164,1661.4207,0.21802731,918.68225,0.23931797,-105.78838,-0.88777983,2610.1084,0.13900237,891.57806,0.1898438,-106.475555,-0.8754674,-2.497974,-5.060985,8.960296,1.4988817,0.027029296,1.2015836,-0.025255572,-0.6739031,1.003773,0.46656847,18.829182,1.2791876,-12.661439,-0.62641585,23.147116,0.23891163,-11.07964,-1.2936941,-9.88779,20.922455,-0.031111673,-0.003489299,0.07949163,2.8037386,2.0,0.235,0.145,0.235,0.044999998,-26.03371,C:/proje/ser_proje/dataset\Angry\1157_kz_cene.wav,Angry
24.623325,0.06673629,22.88335,24.89322,26.187298,3.3039474,29.62307,4.55035,20.805618,13.978939,1.4139197,0.6953292,0.21417272,1.4442043,2.444194,2.2300215,8.469949,3.5860262,13.751038,0.03200674,0.77573663,0.71999204,27.111567,0.5800521,-2.6908858,-4.0256114,1.3732697,6.8368573,2.4057178,2.7785184,0.015381529,0.95265454,1.0604049,0.67843115,4.2040486,0.593799,0.96993786,6.2487383,16.986908,0.4415419,448.52487,0.30005804,1367.7609,0.1834826,-42.806473,-1.7372516,1409.2347,0.09731059,1029.5172,0.15736726,-47.003483,-1.5134479,2389.4705,0.09071743,923.4328,0.27791986,-54.594078,-1.2347375,-10.705335,-0.46561235,22.856062,0.22497672,0.03942168,0.80836004,-0.01731593,-0.5130599,1.0280128,0.4151783,33.990555,0.27797753,-4.7817492,-2.4494646,1.0619433,7.607526,2.2815993,2.3677065,-4.394474,12.358512,-0.005489856,-0.0014849242,0.12871411,3.125,1.724138,0.45999998,0.0,0.08,0.0,-21.702297,C:/proje/ser_proje/dataset\Angry\1157_kz_ceren.wav,Angry
33.215076,0.45355886,23.857689,25.397774,58.54075,34.68306,-4.9241457,0.0,295.3064,0.0,1.0821801,0.7508684,0.2743868,0.9326673,1.8965917,1.6222049,13.47953,4.942707,5.879963,6.1550817,0.6196226,0.9665055,2.2416375,10.364358,4.8650975,1.6068428,5.895022,2.084984,-6.0145135,-1.7687486,0.033286482,0.5796178,2.2002635,0.52268463,-0.8339428,-6.485097,-1.7039784,-5.0597377,12.976987,1.1160477,505.2165,0.5453876,1131.0098,0.32541633,-110.24279,-0.89799035,1560.2902,0.21501675,1018.4047,0.5930557,-99.82288,-0.91624033,2529.318,0.14254026,901.34705,0.3539989,-97.06924,-0.94071823,-4.516195,-3.5635798,12.176939,1.5059515,0.04516093,0.5011917,-0.0147771975,-0.8554139,1.0511178,0.5215063,10.088249,2.646439,5.8134413,1.511861,10.641491,0.88331014,-3.3722293,-3.154951,3.1408331,2.3331428,0.01287129,-0.0026517366,0.19905761,3.7974684,2.7027028,0.19,0.099999994,0.14999999,0.07,-24.385145,C:/proje/ser_proje/dataset\Angry\1157_kz_cilek.wav,Angry
24.452032,0.028393295,23.80393,24.35524,25.273254,1.4693241,11.65107,0.27188566,14.502965,4.3484316,1.0875779,0.95262796,0.103604935,0.7924873,2.1659844,2.0623794,14.498274,5.840539,17.350271,7.9390154,0.7254264,1.1076496,18.989428,0.9916573,1.134008,5.73993,-1.1343604,-9.214114,1.3619505,5.7717314,0.02553133,0.9955925,1.5596579,0.74338466,2.6163857,1.3746406,2.6532285,2.6582518,19.023016,0.34531853,446.69962,0.26090923,1304.8292,0.12542765,-99.76844,-0.97814393,1401.8206,0.061605882,1054.0986,0.1306449,-105.127525,-0.86507696,2313.7324,0.079242766,937.3502,0.18610857,-107.36374,-0.8287841,-14.006526,-0.20640843,25.250357,0.1334709,0.052589115,0.39408618,-0.02405987,-0.44225448,1.3756709,0.5167895,34.88988,0.20956306,0.058254436,125.29356,2.558067,2.5486088,0.7220082,10.583289,-2.632283,8.696152,0.007156383,-0.0039937394,0.14526293,3.896104,1.388889,0.35999998,0.0,0.16499999,0.114999995,-21.09783,C:/proje/ser_proje/dataset\Angry\1157_kz_demet.wav,Angry
